code,state,year,count
VT,Vermont,2016,10944
VA,Virginia,2006,1277777
VA,Virginia,2007,844337
VA,Virginia,2008,25363
VA,Virginia,2009,835627
VA,Virginia,2010,848413
VA,Virginia,2011,955999
VA,Virginia,2012,1826550
VA,Virginia,2013,347538
VA,Virginia,2014,1001846
VA,Virginia,2015,986773
VA,Virginia,2016,275176
WA,Washington,2006,892323
WA,Washington,2007,314575
WA,Washington,2008,4161
WA,Washington,2009,525160
WA,Washington,2010,524665
WA,Washington,2011,588005
WA,Washington,2012,1226989
WA,Washington,2013,183612
WA,Washington,2014,497494
WA,Washington,2015,585229
WA,Washington,2016,166329
WV,West Virginia,2006,166244
WV,West Virginia,2007,83063
WV,West Virginia,2008,391
WV,West Virginia,2009,98421
WV,West Virginia,2010,100354
WV,West Virginia,2011,115189
WV,West Virginia,2012,259544
WV,West Virginia,2013,45730
WV,West Virginia,2014,126858
WV,West Virginia,2015,89976
WV,West Virginia,2016,23667
WI,Wisconsin,2006,975952
WI,Wisconsin,2007,476683
WI,Wisconsin,2008,6172
WI,Wisconsin,2009,448643
WI,Wisconsin,2010,503323
WI,Wisconsin,2011,581297
WI,Wisconsin,2012,1146814
WI,Wisconsin,2013,212959
WI,Wisconsin,2014,609368
WI,Wisconsin,2015,587141
WI,Wisconsin,2016,177419
WY,Wyoming,2006,66439
WY,Wyoming,2007,25307
WY,Wyoming,2008,277
WY,Wyoming,2009,54213
WY,Wyoming,2010,50055
WY,Wyoming,2011,47931
WY,Wyoming,2012,64809
WY,Wyoming,2013,11924
WY,Wyoming,2014,38555
WY,Wyoming,2015,39604
WY,Wyoming,2016,12428
