,P-Africa,R-Africa,P-Asia,R-Asia,P-Europe,R-Europe,P-North America,R-North America,P-Oceania,R-Oceania,P-South America,R-South America
42276,,,,,0.6652,88.0,0.0,82,,,,
42277,,,,,0.0258,88.0,0.0,82,,,,
42278,,,,,0.5719,88.0,-0.128,82,,,,
42279,,,,,0.5106,88.0,0.8896,89,,,,
42280,,,,,0.6597,88.0,0.1406,89,,,,
42281,,,,,0.6908,88.0,0.962,89,,,,
42282,,,,,0.7184,88.0,0.734,89,,,,
42283,,,,,0.9062,84.0,0.9517,89,,,,
42284,,,,,0.0,84.0,0.7906,89,,,,
42285,,,,,0.884,84.0,0.9381,89,,,,
42286,,,,,0.8176,84.0,0.8649,87,,,,
42287,,,,,0.7891,84.0,-0.6112,87,,,,
42288,,,,,0.5574,84.0,0.0,87,,,,
42289,,,,,0.6597,84.0,0.5095,87,,,,
42290,,,,,-0.4588,84.0,0.7717,87,,,,
42291,,,,,-0.2263,84.0,0.8834,87,,,,
42292,,,,,-0.128,84.0,0.1779,87,,,,
42293,,,,,-0.4019,84.0,0.5994,87,,,,
42294,,,,,0.4404,84.0,0.9201,87,,,,
42295,,,,,0.2023,84.0,0.7506,87,,,,
42296,,,,,0.743,91.0,0.5106,87,,,,
42297,,,,,0.5994,91.0,0.3173,87,,,,
42298,,,,,0.8757,91.0,0.3818,88,,,,
42299,,,,,0.802,91.0,0.5106,88,,,,
42300,,,,,0.4767,91.0,0.7906,88,,,,
42301,,,,,0.872,91.0,0.8779,88,,,,
42302,,,,,0.3612,91.0,0.5256,88,,,,
42303,,,,,0.9169,91.0,0.4404,88,,,,
42304,,,,,0.0,91.0,0.3182,88,,,,
42305,,,,,0.8655,91.0,0.4588,88,,,,
42306,,,,,0.7964,91.0,0.0865,88,,,,
42307,,,,,0.296,90.0,0.7579,88,,,,
42308,,,,,0.0,90.0,0.4019,88,,,,
42309,,,,,0.0,90.0,0.5106,88,,,,
42310,,,,,0.5574,90.0,0.7506,88,,,,
42311,,,,,0.0,90.0,0.0,88,,,,
42312,,,,,0.4404,90.0,0.631,88,,,,
42313,,,,,0.8316,90.0,0.7269,88,,,,
42314,,,,,0.0,90.0,0.9153,88,,,,
42315,,,,,0.8641,90.0,0.9072,88,,,,
42316,,,,,0.8564,85.0,0.7939,88,,,,
42317,,,,,-0.2263,85.0,0.8658,88,,,,
42318,,,,,0.8591,85.0,0.6597,88,,,,
42319,,,,,0.7717,85.0,0.765,88,,,,
42320,,,,,0.816,85.0,0.5574,88,,,,
42321,,,,,0.6597,85.0,0.5106,88,,,,
