,polarity,points-category
527,-0.29600000000000004,80-84
528,-0.128,80-84
529,0.4033,80-84
530,0.0,80-84
531,0.4144,80-84
532,0.3182,80-84
533,0.6115,80-84
534,0.0,80-84
535,0.2732,80-84
536,-0.6105,80-84
537,-0.1646,80-84
538,0.5563,80-84
539,0.0,80-84
540,0.7717,80-84
541,0.2263,80-84
542,0.5922,80-84
543,0.0,80-84
544,-0.2991,80-84
545,-0.0516,80-84
546,0.0516,80-84
547,0.2928,80-84
548,0.0,80-84
549,0.2144,80-84
550,0.1779,80-84
551,0.0,80-84
552,0.5095,80-84
553,-0.3612,80-84
554,-0.3919,80-84
555,0.6705,80-84
556,0.5095,80-84
557,0.0,80-84
558,0.5106,80-84
559,0.4933,80-84
560,0.802,80-84
561,0.4221,80-84
562,0.9793,80-84
563,0.6369,80-84
564,0.2263,80-84
565,-0.4047,80-84
566,-0.4767,80-84
567,0.0,80-84
568,0.0,80-84
569,0.0,80-84
570,-0.3182,80-84
571,0.3182,80-84
572,0.2263,80-84
573,0.6369,80-84
574,0.0,80-84
575,0.4404,80-84
576,0.0,80-84
577,0.0,80-84
578,0.0,80-84
579,0.5574,80-84
580,0.5994,80-84
581,0.5994,80-84
582,0.6597,80-84
583,0.0,80-84
584,0.0,80-84
585,0.0,80-84
586,0.0,80-84
587,-0.128,80-84
588,0.802,80-84
589,-0.1154,80-84
590,0.4588,80-84
591,0.4019,80-84
592,0.4767,80-84
593,0.5106,80-84
594,0.5106,80-84
595,0.0,80-84
596,0.7943,80-84
597,0.6115,80-84
598,0.4588,80-84
599,0.6249,80-84
600,0.0,80-84
601,0.743,80-84
602,-0.6808,80-84
603,0.1226,80-84
604,0.1779,80-84
605,0.0,80-84
606,0.0,80-84
607,0.0,80-84
608,0.0,80-84
609,0.0,80-84
610,0.0,80-84
611,0.4588,80-84
612,-0.4867,80-84
613,0.0,80-84
614,0.0,80-84
615,0.0,80-84
616,0.0,80-84
617,0.7579,80-84
618,-0.128,80-84
619,-0.1531,80-84
620,0.2484,80-84
621,0.6486,80-84
622,-0.4215,80-84
623,0.0,80-84
624,0.0,80-84
625,0.7966,80-84
626,0.4588,80-84
627,0.4939,80-84
628,0.34,80-84
629,0.872,80-84
630,0.4215,80-84
631,0.5413,80-84
632,0.8173,80-84
633,0.6486,80-84
634,0.4201,80-84
635,0.0,80-84
636,-0.1531,80-84
637,-0.3182,80-84
638,0.2382,80-84
639,0.431,80-84
640,-0.4404,80-84
641,-0.3182,80-84
642,0.3818,80-84
643,0.0,80-84
644,0.6956,80-84
645,0.34,80-84
646,0.6369,80-84
647,0.0,80-84
648,0.4588,80-84
649,0.4417,80-84
650,-0.204,80-84
651,0.0,80-84
652,0.0,80-84
653,0.7783,80-84
654,-0.1027,80-84
655,0.6395,80-84
656,0.3612,80-84
657,0.2516,80-84
658,-0.2263,80-84
659,0.0,80-84
660,0.8887,80-84
661,0.764,80-84
662,-0.1779,80-84
663,0.4404,80-84
664,0.4588,80-84
665,0.3818,80-84
666,0.0,80-84
667,-0.5994,80-84
668,0.6369,80-84
669,-0.6705,80-84
670,0.2382,80-84
671,-0.5994,80-84
672,0.6705,80-84
673,0.7717,80-84
674,-0.29600000000000004,80-84
675,0.3612,80-84
676,-0.5652,80-84
677,0.4588,80-84
678,0.5719,80-84
679,-0.1531,80-84
680,0.7574,80-84
681,0.4404,80-84
682,-0.4215,80-84
683,0.8201,80-84
684,0.5927,80-84
685,0.6369,80-84
686,0.0,80-84
687,0.2144,80-84
688,-0.3041,80-84
689,0.7574,80-84
690,-0.3182,80-84
691,0.0,80-84
692,0.6128,80-84
693,0.7395,80-84
694,0.2152,80-84
695,0.7959999999999999,80-84
696,0.0,80-84
697,0.0,80-84
698,0.0,80-84
699,0.6908,80-84
700,0.0,80-84
701,0.8074,80-84
702,0.5994,80-84
703,0.4588,80-84
704,0.2263,80-84
705,-0.0516,80-84
706,0.0,80-84
707,0.0,80-84
708,-0.25,80-84
709,-0.7582,80-84
710,0.4939,80-84
711,0.4588,80-84
712,0.431,80-84
713,0.0,80-84
714,-0.5994,80-84
715,0.0,80-84
716,0.7964,80-84
717,0.7184,80-84
718,0.7003,80-84
719,0.0,80-84
720,0.7003,80-84
721,0.235,80-84
722,0.0,80-84
723,-0.0516,80-84
724,0.7391,80-84
725,0.3612,80-84
726,0.5267,80-84
727,-0.5187,80-84
728,-0.1531,80-84
729,0.9172,80-84
730,0.0,80-84
731,0.8201,80-84
732,0.0,80-84
733,0.0,80-84
734,0.0,80-84
735,0.6801,80-84
736,0.0,80-84
737,0.0772,80-84
738,0.0,80-84
739,0.0,80-84
740,0.0,80-84
741,0.2006,80-84
742,-0.128,80-84
743,0.7184,80-84
744,0.0,80-84
745,0.0,80-84
746,0.4019,80-84
747,0.0,80-84
748,0.1531,80-84
749,0.7003,80-84
750,0.3612,80-84
751,0.0,80-84
752,-0.5719,80-84
753,0.4215,80-84
754,0.0,80-84
755,0.7096,80-84
756,0.0,80-84
757,-0.128,80-84
758,0.0,80-84
759,0.0,80-84
760,0.6997,80-84
761,-0.1027,80-84
762,0.743,80-84
763,0.0,80-84
764,0.0,80-84
765,-0.5423,80-84
766,0.802,80-84
767,0.1761,80-84
768,0.7269,80-84
769,0.0,80-84
770,0.5927,80-84
771,-0.1531,80-84
772,-0.0516,80-84
773,0.8139,80-84
774,0.0,80-84
775,0.0,80-84
776,0.0,80-84
777,0.1263,80-84
778,0.5574,80-84
779,-0.4215,80-84
780,0.6915,80-84
781,-0.1779,80-84
782,0.4404,80-84
783,0.3167,80-84
784,0.0,80-84
785,-0.4215,80-84
786,0.0,80-84
787,0.7579,80-84
788,0.3612,80-84
789,0.8316,80-84
790,0.0,80-84
791,-0.0772,80-84
792,0.1531,80-84
793,0.3612,80-84
794,0.0,80-84
795,0.9153,80-84
796,-0.1868,80-84
797,0.7506,80-84
798,0.2263,80-84
799,0.3818,80-84
800,0.0,80-84
801,0.0,80-84
802,0.9045,80-84
803,0.0,80-84
804,0.29600000000000004,80-84
805,0.6369,80-84
806,-0.4215,80-84
807,-0.29600000000000004,80-84
808,0.7269,80-84
809,0.2732,80-84
810,-0.34,80-84
811,0.6597,80-84
812,0.34,80-84
813,0.8834,80-84
814,0.4588,80-84
815,0.818,80-84
816,0.6908,80-84
817,0.6652,80-84
818,0.5423,80-84
819,0.7783,80-84
820,-0.6403,80-84
821,0.6808,80-84
822,-0.4215,80-84
823,0.0,80-84
824,0.0,80-84
825,0.6597,80-84
826,0.0,80-84
827,0.0,80-84
828,0.0,80-84
829,0.8658,80-84
830,0.1406,80-84
831,0.0,80-84
832,0.7096,80-84
833,0.0,80-84
834,0.2732,80-84
835,0.4767,80-84
836,0.8722,80-84
837,-0.7845,80-84
838,0.1027,80-84
839,0.0,80-84
840,0.3919,80-84
841,0.5106,80-84
842,0.1655,80-84
843,0.294,80-84
844,0.0,80-84
845,0.4588,80-84
846,0.1531,80-84
847,-0.6124,80-84
848,0.0,80-84
849,0.5267,80-84
850,-0.4215,80-84
851,0.0,80-84
852,-0.1779,80-84
853,0.4391,80-84
854,0.0,80-84
855,0.5106,80-84
856,0.0,80-84
857,0.0,80-84
858,-0.5719,80-84
859,0.0,80-84
860,0.0,80-84
861,0.7096,80-84
862,0.4576,80-84
863,0.0,80-84
864,-0.1326,80-84
865,0.8225,80-84
866,0.6124,80-84
867,0.2382,80-84
868,0.7845,80-84
869,0.5106,80-84
870,0.0,80-84
871,-0.4215,80-84
872,0.162,80-84
873,0.7003,80-84
874,-0.6124,80-84
875,-0.25,80-84
876,-0.7096,80-84
877,0.25,80-84
878,0.0,80-84
879,0.34,80-84
880,-0.4416,80-84
881,0.9011,80-84
882,0.0,80-84
883,0.4284,80-84
884,0.1513,80-84
885,-0.29600000000000004,80-84
886,-0.3612,80-84
887,-0.1531,80-84
888,0.0,80-84
889,0.5499,80-84
890,0.4201,80-84
891,-0.0516,80-84
892,0.5346,80-84
893,0.3612,80-84
894,0.0772,80-84
895,0.0,80-84
896,0.2846,80-84
897,0.0,80-84
898,0.9672,80-84
899,0.2846,80-84
900,-0.4215,80-84
901,0.4588,80-84
902,-0.5267,80-84
903,-0.2023,80-84
904,0.0,80-84
905,0.0,80-84
906,-0.5831,80-84
907,-0.0644,80-84
908,0.5106,85-89
909,0.5106,85-89
910,0.6705,85-89
911,0.7845,85-89
912,0.0,85-89
913,0.5719,85-89
914,0.4576,85-89
915,0.6808,85-89
916,0.4588,85-89
917,0.2263,85-89
918,0.5106,85-89
919,0.6908,85-89
920,0.0,85-89
921,0.0,85-89
922,0.7717,85-89
923,0.6369,85-89
924,0.4404,85-89
925,0.7269,85-89
926,0.4939,85-89
927,0.7269,85-89
928,0.3384,85-89
929,-0.0772,85-89
930,0.128,85-89
931,0.765,85-89
932,0.7845,85-89
933,-0.1779,85-89
934,0.9239,85-89
935,0.872,85-89
936,0.2023,85-89
937,0.9696,85-89
938,0.0,85-89
939,0.4215,85-89
940,0.4404,85-89
941,0.1263,85-89
942,0.5719,85-89
943,0.5574,85-89
944,0.8316,85-89
945,0.5574,85-89
946,0.7778,85-89
947,0.6808,85-89
948,0.5187,85-89
949,0.7579,85-89
950,0.7677,85-89
951,0.5574,85-89
952,0.3182,85-89
953,0.2023,85-89
954,0.7227,85-89
955,0.2382,85-89
956,-0.1779,85-89
957,0.7269,85-89
958,0.0,85-89
959,0.5574,85-89
960,0.5574,85-89
961,0.2732,85-89
962,-0.35700000000000004,85-89
963,0.5574,85-89
964,-0.4047,85-89
965,0.743,85-89
966,0.5859,85-89
967,0.2177,85-89
968,0.7579,85-89
969,0.6486,85-89
970,0.818,85-89
971,0.8271,85-89
972,0.5574,85-89
973,0.2732,85-89
974,0.4767,85-89
975,0.4404,85-89
976,0.9393,85-89
977,0.705,85-89
978,0.0,85-89
979,0.8338,85-89
980,0.4019,85-89
981,0.4019,85-89
982,0.3167,85-89
983,0.9267,85-89
984,0.7783,85-89
985,0.8859999999999999,85-89
986,0.8555,85-89
987,0.0,85-89
988,0.9051,85-89
989,0.802,85-89
990,0.9434,85-89
991,0.8658,85-89
992,0.4497,85-89
993,-0.25,85-89
994,0.2023,85-89
995,0.631,85-89
996,0.3182,85-89
997,0.8481,85-89
998,0.6369,85-89
999,0.7184,85-89
1000,0.7351,85-89
1001,0.3182,85-89
1002,0.9274,85-89
1003,0.8481,85-89
1004,0.0,85-89
1005,0.1154,85-89
1006,0.631,85-89
1007,0.8442,85-89
1008,0.4588,85-89
1009,0.2023,85-89
1010,0.0,85-89
1011,0.0,85-89
1012,0.8357,85-89
1013,0.4215,85-89
1014,-0.1216,85-89
1015,0.3818,85-89
1016,0.0,85-89
1017,0.4404,85-89
1018,0.0,85-89
1019,0.2732,85-89
1020,0.8516,85-89
1021,0.8847,85-89
1022,0.5267,85-89
1023,0.93,85-89
1024,0.8155,85-89
1025,0.872,85-89
1026,0.5984,85-89
1027,0.0,85-89
1028,-0.5267,85-89
1029,0.5719,85-89
1030,0.9297,85-89
1031,0.5267,85-89
1032,0.926,85-89
