State,Cases_2010,Cases_2011,Cases_2012,Cases_2013,Cases_2014,Cases_2015,Cases_2016,Cases_2017,TotalByState,Rate_2010,Rate_2011,Rate_2012,Rate_2013,Rate_2014,Rate_2015,Rate_2016,Rate_2017
NORTH CAROLINA,140.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,142.0,0.04534478486940919,0.0,0.00032389132049577996,0.0,0.0,0.0,0.0,0.00032389132049577996
NORTH DAKOTA,7.0,3.0,63.0,0.0,10.0,13.0,54.0,42.0,192.0,0.00226723924347046,0.0009716739614873398,0.020405153191234135,0.0,0.0032389132049577994,0.004210587166445139,0.017490131306772117,0.013603435460822757
OHIO,1.0,11.0,4.0,0.0,1.0,12.0,5.0,11.0,45.0,0.00032389132049577996,0.0035628045254535792,0.0012955652819831198,0.0,0.00032389132049577996,0.003886695845949359,0.0016194566024788997,0.0035628045254535792
OKLAHOMA,12.0,0.0,26.0,0.0,9.0,40.0,13.0,13.0,113.0,0.003886695845949359,0.0,0.008421174332890278,0.0,0.0029150218844620195,0.012955652819831198,0.004210587166445139,0.004210587166445139
OREGON,6.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,14.0,0.0019433479229746795,0.0,0.00032389132049577996,0.0,0.00032389132049577996,0.0,0.00032389132049577996,0.0016194566024788997
PENNSYLVANIA,9.0,1.0,5.0,0.0,1.0,13.0,5.0,6.0,40.0,0.0029150218844620195,0.00032389132049577996,0.0016194566024788997,0.0,0.00032389132049577996,0.004210587166445139,0.0016194566024788997,0.0019433479229746795
RHODE ISLAND,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0029150218844620195,0.0,0.0006477826409915599,0.0,0.0,0.0,0.0,0.00032389132049577996
SOUTH CAROLINA,40.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,49.0,0.012955652819831198,0.0,0.0012955652819831198,0.0,0.0,0.0,0.0006477826409915599,0.0009716739614873398
SOUTH DAKOTA,16.0,2.0,92.0,11.0,45.0,29.0,116.0,46.0,357.0,0.005182261127932479,0.0006477826409915599,0.029798001485611757,0.0035628045254535792,0.014575109422310098,0.009392848294377617,0.037571393177510466,0.014899000742805878
TENNESSEE,2.0,2.0,7.0,0.0,4.0,1.0,3.0,12.0,31.0,0.0006477826409915599,0.0006477826409915599,0.00226723924347046,0.0,0.0012955652819831198,0.00032389132049577996,0.0009716739614873398,0.003886695845949359
TEXAS,12.0,7.0,65.0,1.0,118.0,70.0,112.0,48.0,433.0,0.003886695845949359,0.00226723924347046,0.021052935832225696,0.00032389132049577996,0.03821917581850203,0.022672392434704595,0.03627582789552736,0.015546783383797436
UTAH,1.0,2.0,3.0,0.0,1.0,3.0,6.0,24.0,40.0,0.00032389132049577996,0.0006477826409915599,0.0009716739614873398,0.0,0.00032389132049577996,0.0009716739614873398,0.0019433479229746795,0.007773391691898718
VERMONT,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0006477826409915599,0.0,0.00032389132049577996,0.0,0.0,0.0,0.00032389132049577996,0.00032389132049577996
VIRGINIA,2.0,0.0,10.0,0.0,2.0,7.0,6.0,1.0,28.0,0.0006477826409915599,0.0,0.0032389132049577994,0.0,0.0006477826409915599,0.00226723924347046,0.0019433479229746795,0.00032389132049577996
WASHINGTON,1.0,0.0,1.0,0.0,5.0,16.0,1.0,3.0,27.0,0.00032389132049577996,0.0,0.00032389132049577996,0.0,0.0016194566024788997,0.005182261127932479,0.00032389132049577996,0.0009716739614873398
WEST VIRGINIA,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0012955652819831198,0.0,0.0,0.0,0.00032389132049577996,0.0
WISCONSIN,2.0,1.0,4.0,1.0,3.0,4.0,4.0,8.0,27.0,0.0006477826409915599,0.00032389132049577996,0.0012955652819831198,0.00032389132049577996,0.0009716739614873398,0.0012955652819831198,0.0012955652819831198,0.0025911305639662397
WYOMING,4.0,2.0,25.0,0.0,5.0,5.0,3.0,3.0,47.0,0.0012955652819831198,0.0006477826409915599,0.008097283012394497,0.0,0.0016194566024788997,0.0016194566024788997,0.0009716739614873398,0.0009716739614873398
TotalByYear,617.0,206.0,1176.0,43.0,841.0,698.0,929.0,706.0,5216.0,0.1998409447458962,0.06672161202213066,0.38089619290303717,0.013927326781318538,0.2723926005369509,0.2260761417060544,0.30089503674057955,0.22866727227002062
